Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Summary,Option2 Name,Option2 Value,Option2 Summary,Option3 Name,Option3 Value,Option3 Summary,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
p1,P1,<p>Discover timeless elegance with P1 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P1,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P1 - Newds.Co Fine Jewelry,Shop P1 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p2,P2,<p>Discover timeless elegance with P2 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P2,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P2 - Newds.Co Fine Jewelry,Shop P2 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p3,P3,<p>Discover timeless elegance with P3 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P3,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P3 - Newds.Co Fine Jewelry,Shop P3 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p4,P4,<p>Discover timeless elegance with P4 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P4,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P4 - Newds.Co Fine Jewelry,Shop P4 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p5,P5,<p>Discover timeless elegance with P5 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P5,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P5 - Newds.Co Fine Jewelry,Shop P5 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p6,P6,<p>Discover timeless elegance with P6 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P6,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P6 - Newds.Co Fine Jewelry,Shop P6 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p7,P7,<p>Discover timeless elegance with P7 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P7,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P7 - Newds.Co Fine Jewelry,Shop P7 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p8,P8,<p>Discover timeless elegance with P8 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P8,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P8 - Newds.Co Fine Jewelry,Shop P8 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p9,P9,<p>Discover timeless elegance with P9 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P9,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P9 - Newds.Co Fine Jewelry,Shop P9 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p10,P10,<p>Discover timeless elegance with P10 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P10,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P10 - Newds.Co Fine Jewelry,Shop P10 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p11,P11,<p>Discover timeless elegance with P11 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P11,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P11 - Newds.Co Fine Jewelry,Shop P11 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p12,P12,<p>Discover timeless elegance with P12 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P12,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P12 - Newds.Co Fine Jewelry,Shop P12 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
